X_Value,Voltage_0,Voltage_1,Voltage_2,Voltage_3
0.64,0.033792,0.011084,1.250398,-0.000897
0.645,0.038892,0.003437,1.242749,0.00675
0.65,0.028692,0.003437,1.247848,-0.005994
0.655,0.038892,0.005986,1.247848,-0.000897
0.66,0.033792,0.000888,1.268246,-0.000897
0.665,0.033792,0.013633,1.250398,-0.000897
0.67,0.033792,0.000888,1.263146,0.004201
0.675,0.033792,0.011084,1.245298,-0.000897
0.68,0.038892,0.000888,1.255497,-0.000897
0.685,0.026142,0.005986,1.252948,-0.005994
0.69,0.038892,0.005986,1.255497,0.004201
0.695,0.028692,0.005986,1.247848,-0.008543
0.7,0.038892,0.000888,1.245298,0.004201
0.705,0.028692,0.011084,1.255497,-0.005994
0.71,0.038892,0.000888,1.258047,-0.000897
0.715,0.028692,0.013633,1.247848,-0.000897
0.72,0.033792,0.000888,1.263146,-0.000897
0.725,0.033792,0.013633,1.247848,-0.000897
0.73,0.031242,0.003437,1.255497,-0.000897
0.735,0.033792,0.011084,1.247848,-0.005994
0.74,0.033792,0.000888,1.270796,0.004201
0.745,0.033792,0.005986,1.265696,-0.008543
0.75,0.033792,0.000888,1.275895,0.004201
0.755,0.028692,0.013633,1.265696,-0.000897
0.76,0.041442,-0.001661,1.258047,0.001652
0.765,0.031242,0.011084,1.270796,-0.000897
0.77,0.038892,0.000888,1.278445,-0.000897
0.775,0.031242,0.011084,1.283544,-0.000897
0.78,0.038892,0.000888,1.268246,0.004201
0.785,0.028692,0.011084,1.268246,-0.005994
0.79,0.038892,0.000888,1.268246,-0.000897
0.795,0.028692,0.013633,1.258047,-0.005994
0.8,0.038892,0.000888,1.247848,0.004201
0.805,0.028692,0.011084,1.252948,-0.008543
0.81,0.038892,0.000888,1.258047,-0.000897
0.815,0.026142,0.005986,1.247848,-0.005994
0.82,0.041442,0.000888,1.252948,0.004201
0.825,0.031242,0.011084,1.250398,-0.000897
0.83,0.038892,0.003437,1.245298,0.004201
0.835,0.028692,0.005986,1.250398,-0.000897
0.84,0.033792,0.005986,1.250398,-0.003445
0.845,0.041442,0.003437,1.252948,-0.000897
0.85,0.026142,0.011084,1.263146,-0.008543
0.855,0.033792,0.005986,1.258047,0.004201
